날짜,칼로리 소모량,걸음 수,이동 거리,층수,정적인 시간(분),약간 활동적인 시간(분),상당히 활동적인 시간(분),매우 활동적인 시간(분),활동 칼로리
"2021. 4. 24.","2,414","7,368","5.05","0","1,159","281","0","0","1,047"
"2021. 4. 25.","2,234","7,134","4.95","0","611","223","8","5","897"
"2021. 4. 26.","2,351","6,598","4.68","0","976","178","6","7","848"
"2021. 4. 27.","2,074","4,300","2.94","0","1,313","114","4","9","561"
"2021. 4. 28.","2,448","8,955","6.35","0","961","190","1","20","981"
"2021. 4. 29.","2,283","7,225","5.4","0","1,287","114","12","27","778"
"2021. 4. 30.","2,165","6,050","4.52","0","1,274","154","1","11","684"
"2021. 5. 1.","2,783","14,729","11.1","0","1,099","283","14","44","1,524"
"2021. 5. 2.","2,439","7,834","5.31","0","649","297","8","3","1,148"
"2021. 5. 3.","2,571","9,640","6.68","0","1,165","259","2","14","1,142"
"2021. 5. 4.","2,572","8,975","6.51","0","1,208","175","19","38","1,138"
"2021. 5. 5.","2,874","13,035","8.82","0","1,078","281","42","39","1,633"
"2021. 5. 6.","2,477","7,967","5.5","0","1,194","246","0","0","1,078"
"2021. 5. 7.","1,977","3,484","2.31","0","1,325","115","0","0","452"
"2021. 5. 8.","2,176","6,835","4.68","0","1,283","118","17","22","722"
"2021. 5. 9.","2,110","6,117","4.19","0","1,245","195","0","0","736"
"2021. 5. 10.","2,272","7,397","5.12","0","1,251","181","5","3","835"
"2021. 5. 11.","2,423","6,869","4.64","0","1,237","162","12","29","972"
"2021. 5. 12.","2,401","6,771","4.68","0","1,247","149","24","20","937"
"2021. 5. 13.","2,267","8,225","5.81","0","1,269","120","16","35","809"
"2021. 5. 14.","2,009","3,853","2.62","0","1,309","122","3","6","517"
"2021. 5. 15.","2,247","7,625","5.2","0","1,146","187","8","18","857"
"2021. 5. 16.","1,578","377","0.26","0","1,371","14","0","0","47"
"2021. 5. 23.","1,817","3,921","2.68","0","1,373","40","5","22","337"
"2021. 5. 24.","2,352","9,740","6.68","0","1,229","192","4","15","947"
"2021. 5. 25.","2,132","5,761","4.05","0","1,304","136","0","0","629"
"2021. 5. 26.","2,158","6,214","4.28","0","1,276","154","1","9","676"
"2021. 5. 27.","2,113","4,089","2.8","0","1,261","179","0","0","650"
"2021. 5. 28.","2,149","6,325","4.3","0","1,281","149","5","5","669"
"2021. 5. 29.","2,262","8,123","5.58","0","1,153","172","9","18","874"
"2021. 5. 30.","2,532","10,884","7.44","0","1,159","238","21","22","1,203"
"2021. 5. 31.","2,430","13,917","9.52","0","1,299","19","0","122","1,030"
"2021. 6. 5.","1,903","13,917","9.52","0","1,440","0","0","0","0"
